Record_ID,Plant_ID,Stack_ID,Flow_Rate_m3_hr,TS,PM2.5,SO2,NOx,Unit,Status,Lat_Lon
E00025,PL-03,S-02,1909.6,01/01/2025 00:30,97.2,151.3,47.9,µg/m³,FAULT,"12.9723,77.5954"
E00026,PL-03,S-03,1075.1,01-01-2025 00:30,79.6,49.8,138.5,ug/m3,OK,"12.9715,77.5953"
E00027,LOC-DEL-01,A-01,0,01-01-2025 00:30,81.7,-5.5,185.4,ug/m3,offline,"28.6146,77.2088"
E00028,LOC-DEL-02,A-02,,01-01-2025 00:30,184.0,BDL,100.1,mg/Nm3,OK,"28.6202,77.2154"
E00029,LOC-MUM-01,A-01,0,01-01-2025 00:30,-9.4,122.5,15.0,ug/m3,offline,"19.0763,72.8778"
E00030,LOC-BLR-01,A-01,NULL,31-12-2024 19:00 UTC,34.6,128.8,102.8,ug/m3,  OK  ,"12.9708,77.5941"
E00031,PL-01,S-01,3032.4,01-01-2025 00:45,111.3,188.2,164.9,ug/m3,OK,"13.0837,80.2716"
E00032,PL-01,S-02,4283.8,01-01-2025 00:45,169.2,269.1,< 5.0,ug/m3, ok ,"13.084,80.2714"
E00033,PL-02,S-01,3282.6,01-01-2025 00:45,110.5,167.9,128.0,ug/m3,OK,"19.0756,72.8774"
E00034,PL-03,S-01,3337.1,31-12-2024 19:15 UTC,182.3,185.0,163.9,ug/m3,OK,"12.971,77.5949"
E00035,PL-03,S-02,1909.8,01/01/2025 00:45,7777.0,139.0,166.1,ug/m3,offline,"12.9727,77.5945"
E00036,PL-03,S-03,3070.8,01-01-2025 00:45,15.0,< 5.0,224.2,ug/m3,  OK  ,"12.9712,77.5938"
E00037,LOC-DEL-01,A-01,0,01/01/2025 00:45,95.4,180.6,145.7,ug/m3,  MAINT ,"28.6129,77.2098"
E00038,LOC-DEL-02,A-02,0.0,01-01-2025 00:45,164.4,-11.4,182.6,mg/Nm3,FAULT,"28.6202,77.2155"
E00039,LOC-MUM-01,A-01,,01-01-2025 00:45,156.7,163.1,95.0,ug/m3,maintenance,"19.0759,72.8785"
E00040,LOC-BLR-01,A-01,0.0,01-01-2025 00:45,120.1,-10.3,73.6,ug/m3,OK,"12.9712,77.5956"
E00041,PL-01,S-01,4573.4,01-01-2025 01:00,76.0,<4.0,82.6,ug/m3,OK,"13.0823,80.2706"
E00042,PL-01,S-02,2831.9,01-01-2025 01:00,146.4,100.6,6500.0,ug/m3,MAINT,"13.0838,80.2721"
E00043,PL-02,S-01,3225.3,01-01-2025 01:00,140.0,<5.0,50.9,ug/m3,MAINT,"19.0763,72.8767"
E00044,PL-03,S-01,2121.5,01-01-2025 01:00,133.5,103.7,104.7,mg/Nm3,MAINT,"12.9714,77.5939"
E00045,PL-03,S-02,3324.2,01-01-2025 01:00,< 5.0,81.9,BDL,µg/m³,MAINT,"12.9718,77.5948"
E00046,PL-03,S-03,3430.7,01-01-2025 01:00,83.6,143.5,65.6,mg/Nm3,OK,"12.9723,77.5954"
E00047,LOC-DEL-01,A-01,0,01-01-2025 01:00,77.4,135.7,196.6,ug/m3,OK,"28.6147,77.2091"
E00048,LOC-DEL-02,A-02,0,01-01-2025 01:00,168.2,168.7,50.1,µg/m³, Ok,"28.6201,77.2141"
E00049,LOC-MUM-01,A-01,NULL,01-01-2025 01:00,176.5,94.4,191.8,ug/m3,MAINT,"19.0754,72.8774"
E00050,LOC-BLR-01,A-01,0,01-01-2025 01:00,53.0,136.4,110.8,ug/m3,MAINT,"12.9713,77.5936"
E00051,PL-01,S-01,4833.8,01-01-2025 01:15,65.1,41.0,119.7,ug/m3,  MAINT ,"13.0827,80.2704"
E00052,PL-01,S-02,2498.7,01-01-2025 01:15,198.0,44.1,-8.9,ug/m3,OK,"13.0839,80.271"
E00053,PL-02,S-01,1430.8,31-12-2024 19:45 UTC,88.2,92.3,40.1,ug/m3,FAULT,"19.0751,72.8772"
E00054,PL-03,S-01,4752.0,01/01/2025 01:15,65.9,74.2,203.8,mg/Nm3, Ok,"12.972,77.5939"
E00055,PL-03,S-02,4963.3,01-01-2025 01:15,119.1,66.0,120.6,ug/m3,FAULT,"12.9722,77.5949"
E00056,PL-03,S-03,3397.2,01-01-2025 01:15,40.0,139.1,215.2,ug/m3,MAINT,"12.9715,77.5945"
E00057,LOC-DEL-01,A-01,,01-01-2025 01:15,128.6,304.8,142.3,ug/m3,OK,"28.6148,77.2092"
E00058,LOC-DEL-02,A-02,0,01-01-2025 01:15,80.8,229.8,100.9,ug/m3,FAULT,"28.6204,77.2154"
E00059,LOC-MUM-01,A-01,NULL,01-01-2025 01:15,209.6,177.8,70.3,ug/m3,OK,"19.077,72.878"
E00060,LOC-BLR-01,A-01,NULL,01-01-2025 01:15,150.2,139.0,<2.0,ug/m3,FAULT,"12.9721,77.5941"
E00061,PL-01,S-01,3256.1,01-01-2025 01:30,<2.0,164.6,21.2,ug/m3,MAINT,"13.0824,80.2701"
E00062,PL-01,S-02,4283.8,01-01-2025 01:30,157.9,195.3,125.9,ug/m3,OK,"13.0823,80.2712"
E00063,PL-02,S-01,1664.0,01-01-2025 01:30,209.9,70.1,115.3,ug/m3,maintenance,"19.077,72.8774"
E00064,PL-03,S-01,4205.7,01-01-2025 01:30,246.6,42.2,157.2,ug/m3,FAULT,"12.9712,77.5939"
E00065,PL-03,S-02,4471.6,01-01-2025 01:30,249.0,116.0,269.1,ug/m3,FAULT,"12.972,77.5942"
E00066,PL-03,S-03,2274.0,01-01-2025 01:30,95.0,52.7,183.4,ug/m3,ok ,"12.9727,77.5955"
E00067,LOC-DEL-01,A-01,,01-01-2025 01:30,60.7,48.9,38.9,ug/m3, maint,"28.614,77.2096"
E00068,LOC-DEL-02,A-02,0.0,01-01-2025 01:30,141.7,152.3,87.5,ug/m3, ok ,"28.621,77.2154"
E00069,LOC-MUM-01,A-01,NULL,01-01-2025 01:30,124.8,69.5,BDL,ug/m3,FAULT,"19.0757,72.8784"
E00070,LOC-BLR-01,A-01,,01-01-2025 01:30,207.8,67.5,9999.0,ug/m3, maint,"12.9706,77.5948"
E00071,PL-01,S-01,2929.8,01-01-2025 01:45,211.9,71.0,209.9,mg/Nm3,OK,"13.0824,80.2704"
E00072,PL-01,S-02,3545.9,01-01-2025 01:45,79.3,9999.0,106.7,mg/Nm3,FAULT,"13.0821,80.2719"
E00073,PL-02,S-01,1781.2,01-01-2025 01:45,143.6,96.4,136.7,ug/m3,MAINT,"19.0751,72.8782"
E00074,PL-03,S-01,1846.1,01-01-2025 01:45,180.3,110.5,57.9,ug/m3,down,"12.9724,77.5947"
E00075,PL-03,S-02,3247.1,01-01-2025 01:45,136.9,78.4,9999.0,ug/m3, ok ,"12.9713,77.5948"
E00076,PL-03,S-03,1941.1,01-01-2025 01:45,76.6,160.4,6500.0,ug/m3,MAINT,"12.9721,77.5945"
E00077,LOC-DEL-01,A-01,0,01-01-2025 01:45,115.2,177.8,164.7,ug/m3,MAINT,"28.6143,77.2081"
E00078,LOC-DEL-02,A-02,NULL,01-01-2025 01:45,229.9,216.5,107.9,ug/m3,FAULT,"28.6203,77.2148"
E00079,LOC-MUM-01,A-01,NULL,31-12-2024 20:15 UTC,136.5,42.2,84.3,ug/m3,MAINT,"19.0763,72.8771"
E00080,LOC-BLR-01,A-01,,2025-01-01 01:45:00,,127.8,105.9,ug/m3,OK,"12.9709,77.5955"
E00081,PL-01,S-01,2829.5,01-01-2025 02:00,89.5,133.3,8500.0,ug/m3,FAULT,"13.0831,80.2714"
E00082,PL-01,S-02,4183.1,01/01/2025 02:00,87.8,141.8,-5.6,ug/m3,OK,"13.0825,80.2718"
E00083,PL-02,S-01,3260.3,01-01-2025 02:00,86.2,156.3,161.4,ug/m3,MAINT,"19.0763,72.8787"
E00084,PL-03,S-01,3519.9,01-01-2025 02:00,122.9,BDL,158.8,µg/m³,FAULT,"12.9714,77.5947"
E00085,PL-03,S-02,3144.0,2025-01-01 02:00:00,84.8,111.0,125.2,ug/m3,FAULT,"12.9727,77.5949"
E00086,PL-03,S-03,1844.9,01-01-2025 02:00,141.0,40.5,144.3,ug/m3,MAINT,"12.9718,77.5952"
E00087,LOC-DEL-01,A-01,0,01-01-2025 02:00,61.7,78.8,146.4,ug/m3, Ok,28.6139;77.209
E00088,LOC-DEL-02,A-02,NULL,01-01-2025 02:00,128.5,74.6,18.3,µg/m³,MAINT,"28.6195,77.2159"
E00089,LOC-MUM-01,A-01,0,01-01-2025 02:00,166.8,139.4,82.2,ug/m3,FAULT,"19.0756,72.8783"
E00091,PL-01,S-01,4034.4,31-12-2024 24:15,106.3,,< 5.0,ug/m3,MAINT,"13.0824,80.2717"
E00092,PL-01,S-02,1617.1,01-01-2025 02:15,148.5,182.1,151.3,ug/m3,MAINT,"13.0828,80.2716"
E00093,PL-02,S-01,3934.5,01-01-2025 02:15,187.4,-7.8,66.6,ug/m3,OK,"19.0767,72.8776"
E00094,PL-03,S-01,1255.6,01-01-2025 02:15,255.1,39.3,8500.0,ug/m3,MAINT,"12.9717,77.5952"
E00095,PL-03,S-02,3516.9,31-12-2024 20:45 UTC,35.7,123.6,18.8,ug/m3,DOWN  ,"12.9721,77.5954"
E00096,PL-03,S-03,2494.5,01-01-2025 02:15,256.6,147.9,205.3,ug/m3,DOWN  ,"77.5948,12.9718"
E00097,LOC-DEL-01,A-01,0.0,01-01-2025 02:15,144.4,44.4,,ug/m3,OK,"28.6131,77.2089"
E00098,LOC-DEL-02,A-02,,01-01-2025 02:15,139.4,121.8,180.8,ug/m3,ok ,"28.6196,77.215"
E00099,LOC-MUM-01,A-01,0,01-01-2025 02:15,147.8,184.3,122.2,ug/m3, Ok,"19.0765,72.8775"
E00100,LOC-BLR-01,A-01,,01-01-2025 02:15,261.6,71.9,140.7,µg/m³,FAULT,"12.9713,77.5945"
E00101,PL-01,S-01,2159.6,01-01-2025 02:30,127.6,116.3,36.0,ug/m3,MAINT,"13.0823,80.2716"
E00102,PL-01,S-02,3619.6,01-01-2025 02:30,73.8,8500.0,131.3,ug/m3,FAULT,"13.084,80.2708"
E00103,PL-02,S-01,3640.0,01-01-2025 02:30,201.2,126.4,171.1,ug/m3,MAINT,"19.0755,72.878"
E00104,PL-03,S-01,2205.4,01-01-2025 02:30,121.5,222.2,147.2,mg/Nm3,  MAINT ,"12.9723,77.5938"
E00105,PL-03,S-02,2014.0,01-01-2025 02:30,-6.4,155.8,155.2,ug/m3,FAULT,"12.9717,77.5951"
E00106,PL-03,S-03,2406.1,31-12-2024 21:00 UTC,102.3,< 5.0,36.7,ug/m3,maintenance,"12.9724,77.5939"
E00107,LOC-DEL-01,A-01,NULL,01-01-2025 02:30,15.0,32.9,140.6,ug/m3,MAINT,"28.6134,77.2082"
E00108,LOC-DEL-02,A-02,0.0,31-12-2024 21:00 UTC,110.6,107.4,-4.7,ug/m3,FAULT,"28.6199,77.2156"
E00109,LOC-MUM-01,A-01,0.0,01-01-2025 02:30,197.9,174.9,111.8,ug/m3,error,"19.077,72.8777"
E00110,LOC-BLR-01,A-01,,31-12-2024 21:00 UTC,83.0,140.7,8500.0,µg/m³, maint,"12.9717,77.5936"
E00111,PL-01,S-01,3222.8,01-01-2025 02:45,7777.0,116.2,141.5,mg/Nm3,  MAINT ,"13.083,80.2715"
E00112,PL-01,S-02,1274.5,01-01-2025 02:45,96.0,34.0,92.8,mg/Nm3,FAULT,"13.0834,80.2713"
E00113,PL-02,S-01,4873.5,01-01-2025 02:45,183.8,208.0,-3.5,µg/m³,FAULT,"19.0765,72.8769"
E00114,PL-03,S-01,3856.8,31-12-2024 24:45,162.4,8500.0,103.8,ug/m3,OK,"12.9707,77.5937"
E00115,PL-03,S-02,1579.6,01-01-2025 02:45,114.5,75.0,166.3,ug/m3,OK,"12.9718,77.5941"
E00116,PL-03,S-03,4052.2,31-12-2024 21:15 UTC,215.6,134.4,BDL,ug/m3,down,"12.9722,77.5943"
E00117,LOC-DEL-01,A-01,,01-01-2025 02:45,45.7,133.6,122.5,ug/m3,  MAINT ,"28.614,77.2089"
E00118,LOC-DEL-02,A-02,,01-01-2025 02:45,154.8,141.8,-6.0,ug/m3,MAINT,"28.6193,77.2141"
E00119,LOC-MUM-01,A-01,0.0,31-12-2024 24:45,78.0,38.0,109.4,ug/m3,ok ,"19.0752,72.8786"
E00120,LOC-BLR-01,A-01,NULL,01-01-2025 02:45,188.5,125.1,199.8,ug/m3,OK,"12.9724,77.5943"
E00121,PL-01,S-01,3758.2,01-01-2025 03:00,127.9,133.4,BDL,ug/m3,OK,"13.0818,80.2709"
E00122,PL-01,S-02,4377.7,01-01-2025 03:00,104.5,119.5,138.8,mg/Nm3,OK,13.083;80.2712
E00123,PL-02,S-01,2711.2,01-01-2025 03:00,241.7,232.5,8500.0,ug/m3,down,"19.0768,72.8768"
E00124,PL-03,S-01,1283.0,01-01-2025 03:00,186.2,134.5,16.7,ug/m3,OK,"12.9713,77.5952"
E00125,PL-03,S-02,2909.3,01-01-2025 03:00,,64.3,BDL,ug/m3,  OK  ,"12.9713,77.5951"
E00126,PL-03,S-03,2886.1,01-01-2025 03:00,< 5.0,,98.5,ug/m3, ok ,"12.9724,77.594"
E00127,LOC-DEL-01,A-01,,01-01-2025 03:00,99.0,105.0,177.6,ug/m3,OK,"28.614,77.2084"
E00128,LOC-DEL-02,A-02,0,01-01-2025 03:00,41.3,129.8,84.7,ug/m3,MAINT,"28.6204,77.2159"
E00129,LOC-MUM-01,A-01,NULL,2025-01-01 03:00:00,139.9,< 2.0,70.2,ug/m3,OFFLINE,"19.0765,72.8772"
E00130,LOC-BLR-01,A-01,,01-01-2025 03:00,-4.9,104.2,138.6,ug/m3, Ok,"12.9718,77.5947"
E00131,PL-01,S-01,2046.0,01-01-2025 03:15,168.0,115.7,137.8,µg/m³,OK,"13.083,80.2706"
E00132,PL-01,S-02,3637.7,01-01-2025 03:15,135.5,156.6,171.3,ug/m3,MAINT,"13.0824,80.2706"
E00133,PL-02,S-01,2160.5,2025-01-01 03:15:00,232.8,130.9,196.7,mg/Nm3,MAINT,"72.8777,19.076"
E00134,PL-03,S-01,2447.2,01-01-2025 03:15,85.4,201.9,133.2,ug/m3,OK,"12.9706,77.5939"
E00135,PL-03,S-02,2419.8,01-01-2025 03:15,78.8,119.4,BDL,ug/m3,MAINT,"12.9714,77.5954"
E00136,PL-03,S-03,2077.8,01-01-2025 03:15,77.6,26.8,69.4,ug/m3,MAINT,"12.9728,77.594"
E00137,LOC-DEL-01,A-01,0.0,01-01-2025 03:15,35.8,8500.0,143.4,ug/m3,MAINT,"28.6136,77.2081"
E00138,LOC-DEL-02,A-02,NULL,01-01-2025 03:15,119.1,88.1,59.4,ug/m3,Error 404,"28.6205,77.2155"
E00139,LOC-MUM-01,A-01,0,31-12-2024 21:45 UTC,197.6,82.2,148.0,ug/m3,MAINT,"19.0759,72.8769"
E00140,LOC-BLR-01,A-01,NULL,01-01-2025 03:15,15.0,136.0,75.4,ug/m3,MAINT,"12.972,77.5952"
E00142,PL-01,S-02,3597.3,01-01-2025 03:30,-8.6,97.8,<5.0,ug/m3,OK,"13.0822,80.2702"
E00143,PL-02,S-01,1747.3,01-01-2025 03:30,9999.0,122.1,106.6,ug/m3, fault ,"19.0753,72.877"
E00146,PL-03,S-03,1054.5,31-12-2024 22:00 UTC,23.7,116.1,111.8,mg/Nm3,FAULT,"12.9726,77.595"
E00147,LOC-DEL-01,A-01,0,01-01-2025 03:30,102.3,208.0,,ug/m3,OK,"28.6134,77.2098"
E00148,LOC-DEL-02,A-02,,01-01-2025 03:30,77.8,142.4,146.2,ug/m3,ok ,"28.6194,77.2154"
E00149,LOC-MUM-01,A-01,0.0,01-01-2025 03:30,65.2,<2.0,167.3,ug/m3,DOWN  ,"19.0769,72.8775"
E00150,LOC-BLR-01,A-01,0.0,01-01-2025 03:30,147.5,9999.0,109.8,ug/m3,OK,"12.9709,77.5954"
E00151,PL-01,S-01,3935.1,31-12-2024 22:15 UTC,125.8,,161.4,ug/m3,FAULT,"13.0819,80.2704"
E00152,PL-01,S-02,2698.6,01-01-2025 03:45,216.9,44.9,266.7,ug/m3,OK,"13.0824,80.2704"
E00153,PL-02,S-01,4559.1,01/01/2025 03:45,116.5,< 5.0,136.4,ug/m3,OK,"19.077,72.8786"
E00154,PL-03,S-01,1541.8,01-01-2025 03:45,68.8,169.3,179.4,ug/m3,MAINT,"12.9716,77.5936"
E00155,PL-03,S-02,3406.1,01-01-2025 03:45,107.5,141.9,15.0,ug/m3,MAINT,"12.9715,77.5941"
E00156,PL-03,S-03,4660.5,01-01-2025 03:45,73.0,97.3,69.1,ug/m3,  MAINT ,"12.9724,77.594"
E00157,LOC-DEL-01,A-01,0.0,01-01-2025 03:45,7777.0,134.0,239.2,ug/m3,FAULT,"28.6134,77.21"
E00159,LOC-MUM-01,A-01,,31-12-2024 24:45,159.3,160.9,-14.7,ug/m3,OK,"19.0766,72.8769"
E00160,LOC-BLR-01,A-01,0.0,01-01-2025 03:45,232.8,,96.9,ug/m3,OK,"12.9725,77.5949"
E00161,PL-01,S-01,4010.9,01-01-2025 04:00,121.1,-11.5,73.1,ug/m3, maint,"13.0824,80.2699"
E00162,PL-01,S-02,2330.5,31-12-2024 24:00,60.4,230.1,90.4,ug/m3,MAINT,"13.0839,80.2714"
E00163,PL-02,S-01,1739.4,01-01-2025 04:00,164.8,70.0,66.6,ug/m3,MAINT,"19.0756,72.8774"
E00165,PL-03,S-02,2691.0,01-01-2025 04:00,161.9,187.6,15.0,ug/m3,MAINT,"12.9714,77.5957"
E00166,PL-03,S-03,2207.7,01-01-2025 04:00,179.9,,200.0,ug/m3,FAULT,"12.9726,77.595"
E00167,LOC-DEL-01,A-01,,01-01-2025 04:00,207.6,93.1,<2.0,mg/Nm3,Error 404,"28.6133,77.2086"
E00168,LOC-DEL-02,A-02,0,01-01-2025 04:00,41.4,138.7,122.7,ug/m3,FAULT,"28.6203,77.2153"
E00169,LOC-MUM-01,A-01,NULL,01-01-2025 04:00,115.7,150.1,6500.0,ug/m3,OK,"19.0769,72.877"
E00170,LOC-BLR-01,A-01,NULL,01-01-2025 04:00,271.2,184.4,,ug/m3,OK,"12.971,77.5938"
E00171,PL-01,S-01,2404.0,01-01-2025 04:15,101.7,173.1,143.0,ug/m3,  OK  ,"13.0831,80.2698"
E00172,PL-01,S-02,3871.5,01-01-2025 04:15,163.3,222.3,96.9,ug/m3,error,"13.0835,80.2714"
E00173,PL-02,S-01,4827.8,01-01-2025 04:15,BDL,176.4,BDL,ug/m3,FAULT,"19.0766,72.8782"
E00174,PL-03,S-01,1954.6,01-01-2025 04:15,76.0,77.1,182.8,ug/m3,DOWN  ,"12.9707,77.5946"
E00175,PL-03,S-02,3244.7,01-01-2025 04:15,133.8,,95.0,ug/m3,ok ,"12.9714,77.5946"
E00176,PL-03,S-03,3110.2,01-01-2025 04:15,-2.3,158.0,238.6,ug/m3, ok ,"12.9721,77.5942"
E00177,LOC-DEL-01,A-01,NULL,01-01-2025 04:15,-5.8,152.8,75.7,ug/m3,error,"28.6141,77.2097"
E00178,LOC-DEL-02,A-02,NULL,01-01-2025 04:15,141.7,29.8,168.9,ug/m3,FAULT,"28.6209,77.2148"
E00179,LOC-MUM-01,A-01,NULL,01-01-2025 04:15,70.0,148.1,191.4,ug/m3, ok ,"19.0762,72.8781"
E00180,LOC-BLR-01,A-01,0,01-01-2025 04:15,60.4,50.9,15.0,ug/m3, Ok,"12.9723,77.5955"
E00181,PL-01,S-01,1909.0,01-01-2025 04:30,151.2,205.0,173.2,ug/m3,MAINT,"13.0823,80.2706"
E00182,PL-01,S-02,4630.3,01-01-2025 04:30,141.2,81.8,245.1,ug/m3,FAULT,"13.0832,80.2722"
E00183,PL-02,S-01,3025.4,01-01-2025 04:30,< 2.0,89.9,51.1,mg/Nm3,OK,"19.0767,72.8779"
E00184,PL-03,S-01,1583.1,31-12-2024 23:00 UTC,115.1,182.3,192.7,ug/m3,DOWN  ,"12.9716,77.5956"
E00186,PL-03,S-03,2860.9,01-01-2025 04:30,15.0,212.4,72.3,ug/m3,MAINT,"12.9713,77.5955"
E00187,LOC-DEL-01,A-01,NULL,01-01-2025 04:30,,129.1,73.7,ug/m3,MAINT,"28.6141,77.208"
E00188,LOC-DEL-02,A-02,NULL,01-01-2025 04:30,220.0,129.2,106.8,ug/m3,FAULT,"28.621,77.2141"
E00189,LOC-MUM-01,A-01,NULL,01/01/2025 04:30,111.7,148.4,191.4,ug/m3,OK,"19.0753,72.8786"
E00190,LOC-BLR-01,A-01,,31-12-2024 23:00 UTC,144.1,101.0,127.8,ug/m3, maint,"12.9724,77.5954"
E00191,PL-01,S-01,3625.2,01-01-2025 04:45,131.3,< 4.0,212.0,ug/m3,  OK  ,"13.0827,80.2705"
E00192,PL-01,S-02,2993.2,01-01-2025 04:45,111.0,85.9,-1.1,mg/Nm3,Error 404,"13.0836,80.2707"
E00193,PL-02,S-01,2909.4,01-01-2025 04:45,23.6,187.6,304.4,ug/m3,OK,"19.0763,72.8777"
E00194,PL-03,S-01,2113.2,01-01-2025 04:45,144.4,59.6,BDL,ug/m3,FAULT,"12.9719,77.5943"
E00195,PL-03,S-02,3070.7,01-01-2025 04:45,233.8,187.6,259.0,ug/m3,MAINT,"12.9716,77.5946"
E00196,PL-03,S-03,3688.7,01-01-2025 04:45,126.3,136.2,,ug/m3,MAINT,"12.9722,77.5954"
E00197,LOC-DEL-01,A-01,NULL,01-01-2025 04:45,211.4,BDL,36.0,ug/m3,FAULT,"28.6136,77.2091"
E00198,LOC-DEL-02,A-02,NULL,01-01-2025 04:45,121.3,7777.0,16.9,ug/m3,MAINT,"28.6196,77.2154"
E00199,LOC-MUM-01,A-01,0.0,01-01-2025 04:45,,25.5,15.0,ug/m3,FAULT,"19.0761,72.8774"
E00200,LOC-BLR-01,A-01,0.0,01-01-2025 04:45,138.7,283.7,225.0,ug/m3,OK,"12.9722,77.5954"
E00201,PL-01,S-01,4932.1,01-01-2025 05:00,181.9,116.5,BDL,ug/m3,  MAINT ,"13.0832,80.2702"
E00202,PL-01,S-02,1556.6,01-01-2025 05:00,66.0,158.8,115.4,mg/Nm3,  OK  ,"13.0836,80.2707"
E00203,PL-02,S-01,2914.7,01-01-2025 05:00,15.0,118.1,111.9,µg/m³,OFFLINE,"19.0762,72.8785"
E00204,PL-03,S-01,1867.0,01-01-2025 05:00,161.9,60.1,137.1,ug/m3,DOWN  ,"12.9721,77.594"
E00205,PL-03,S-02,2245.2,01-01-2025 05:00,242.7,83.3,<5.0,ug/m3,FAULT,"12.9723,77.5958"
E00206,PL-03,S-03,3565.8,01-01-2025 05:00,112.4,143.4,106.0,ug/m3,FAULT,"12.9715,77.5948"
E00207,LOC-DEL-01,A-01,NULL,01-01-2025 05:00,-10.0,<2.0,< 2.0,µg/m³,MAINT,"28.6136,77.2092"
E00208,LOC-DEL-02,A-02,0.0,31-12-2024 24:00,134.5,244.3,38.9,ug/m3,MAINT,"28.6197,77.2149"
E00209,LOC-MUM-01,A-01,0,01-01-2025 05:00,153.6,150.2,< 2.0,ug/m3,MAINT,"19.0766,72.8787"
E00210,LOC-BLR-01,A-01,,01-01-2025 05:00,BDL,125.2,162.7,mg/Nm3,MAINT,"12.9726,77.5953"
E00212,PL-01,S-02,1544.5,01-01-2025 05:15,262.7,154.9,161.7,ug/m3,OK,"13.0838,80.2717"
E00213,PL-02,S-01,1239.7,01-01-2025 05:15,98.1,-1.5,148.8,µg/m³,MAINT,"19.0759,72.8775"
E00214,PL-03,S-01,4452.9,01/01/2025 05:15,145.3,76.7,43.4,ug/m3,OK,"12.9715,77.5947"
E00215,PL-03,S-02,4838.1,01-01-2025 05:15,154.1,138.8,117.4,ug/m3,offline,"12.9724,77.5952"
E00216,PL-03,S-03,1914.3,01-01-2025 05:15,208.8,224.5,154.8,ug/m3,FAULT,"12.9725,77.594"
E00217,LOC-DEL-01,A-01,0.0,01-01-2025 05:15,62.9,18.7,148.8,ug/m3,DOWN  ,"28.6143,77.209"
E00218,LOC-DEL-02,A-02,NULL,01/01/2025 05:15,168.7,113.5,103.9,ug/m3,MAINT,"28.6203,77.2148"
E00219,LOC-MUM-01,A-01,0.0,01-01-2025 05:15,105.7,153.6,86.6,ug/m3,OK,"19.0768,72.8772"
E00220,LOC-BLR-01,A-01,0,01-01-2025 05:15,108.3,-9.8,159.6,ug/m3,FAULT,"12.9707,77.595"
E00221,PL-01,S-01,2936.1,01-01-2025 05:30,178.2,143.9,-3.7,ug/m3,MAINT,"13.0827,80.2709"
E00222,PL-01,S-02,3382.8,01-01-2025 05:30,< 2.0,70.9,138.6,ug/m3,FAULT,"13.0828,80.2711"
E00223,PL-02,S-01,2252.3,01-01-2025 05:30,185.8,135.6,154.9,ug/m3, maint,"19.0754,72.877"
