Rule,Step,Record_ID,Column,Old,New
R2,,E00579,Unit,µg/m³,ug/m3
R2,,E00586,Unit,mg/Nm3,mg/nm3
R2,,E00587,Unit,µg/m³,ug/m3
R2,,E00588,Unit,mg/Nm3,mg/nm3
R2,,E00592,Unit,µg/m³,ug/m3
R2,,E00602,Unit,mg/Nm3,mg/nm3
R2,,E00606,Unit,mg/Nm3,mg/nm3
R2,,E00610,Unit,mg/Nm3,mg/nm3
R2,,E00614,Unit,mg/Nm3,mg/nm3
R2,,E00620,Unit,µg/m³,ug/m3
R2,,E00621,Unit,mg/Nm3,mg/nm3
R2,,E00629,Unit,µg/m³,ug/m3
R2,,E00633,Unit,mg/Nm3,mg/nm3
R2,,E00634,Unit,mg/Nm3,mg/nm3
R2,,E00639,Unit,µg/m³,ug/m3
R2,,E00640,Unit,mg/Nm3,mg/nm3
R2,,E00642,Unit,mg/Nm3,mg/nm3
R2,,E00652,Unit,mg/Nm3,mg/nm3
R2,,E00660,Unit,mg/Nm3,mg/nm3
R2,,E00666,Unit,mg/Nm3,mg/nm3
R2,,E00667,Unit,µg/m³,ug/m3
R2,,E00671,Unit,µg/m³,ug/m3
R2,,E00674,Unit,mg/Nm3,mg/nm3
R2,,E00677,Unit,mg/Nm3,mg/nm3
R2,,E00697,Unit,µg/m³,ug/m3
R2,,E00699,Unit,µg/m³,ug/m3
R2,,E00710,Unit,µg/m³,ug/m3
R2,,E00711,Unit,mg/Nm3,mg/nm3
R2,,E00712,Unit,µg/m³,ug/m3
R2,,E00725,Unit,µg/m³,ug/m3
R2,,E00726,Unit,mg/Nm3,mg/nm3
R2,,E00730,Unit,mg/Nm3,mg/nm3
R2,,E00740,Unit,µg/m³,ug/m3
R2,,E00741,Unit,µg/m³,ug/m3
R2,,E00742,Unit,mg/Nm3,mg/nm3
R2,,E00743,Unit,mg/Nm3,mg/nm3
R2,,E00744,Unit,µg/m³,ug/m3
R2,,E00746,Unit,mg/Nm3,mg/nm3
R2,,E00748,Unit,mg/Nm3,mg/nm3
R2,,E00765,Unit,mg/Nm3,mg/nm3
R2,,E00768,Unit,mg/Nm3,mg/nm3
R2,,E00769,Unit,µg/m³,ug/m3
R2,,E00771,Unit,mg/Nm3,mg/nm3
R2,,E00773,Unit,µg/m³,ug/m3
R2,,E00783,Unit,µg/m³,ug/m3
R2,,E00786,Unit,mg/Nm3,mg/nm3
R2,,E00795,Unit,mg/Nm3,mg/nm3
R2,,E00796,Unit,µg/m³,ug/m3
R2,,E00804,Unit,µg/m³,ug/m3
R2,,E00806,Unit,µg/m³,ug/m3
R2,,E00813,Unit,mg/Nm3,mg/nm3
R2,,E00825,Unit,µg/m³,ug/m3
R2,,E00826,Unit,µg/m³,ug/m3
R2,,E00847,Unit,mg/Nm3,mg/nm3
R2,,E00848,Unit,mg/Nm3,mg/nm3
R2,,E00850,Unit,mg/Nm3,mg/nm3
R2,,E00851,Unit,mg/Nm3,mg/nm3
R2,,E00856,Unit,µg/m³,ug/m3
R2,,E00857,Unit,µg/m³,ug/m3
R2,,E00860,Unit,mg/Nm3,mg/nm3
R2,,E00862,Unit,mg/Nm3,mg/nm3
R2,,E00868,Unit,mg/Nm3,mg/nm3
R2,,E00883,Unit,µg/m³,ug/m3
R2,,E00884,Unit,mg/Nm3,mg/nm3
R2,,E00885,Unit,mg/Nm3,mg/nm3
R2,,E00886,Unit,mg/Nm3,mg/nm3
R2,,E00894,Unit,µg/m³,ug/m3
R2,,E00895,Unit,mg/Nm3,mg/nm3
R2,,E00901,Unit,mg/Nm3,mg/nm3
R2,,E00907,Unit,µg/m³,ug/m3
R2,,E00923,Unit,mg/Nm3,mg/nm3
R2,,E00925,Unit,mg/Nm3,mg/nm3
R2,,E00928,Unit,mg/Nm3,mg/nm3
R2,,E00935,Unit,µg/m³,ug/m3
R2,,E00949,Unit,µg/m³,ug/m3
R2,,E00953,Unit,µg/m³,ug/m3
R2,,E00957,Unit,µg/m³,ug/m3
R2,,E00961,Unit,µg/m³,ug/m3
R2,,E00962,Unit,mg/Nm3,mg/nm3
R2,,E00967,Unit,mg/Nm3,mg/nm3
R2,,E00970,Unit,µg/m³,ug/m3
R2,,E00977,Unit,µg/m³,ug/m3
R2,,E00979,Unit,µg/m³,ug/m3
R2,,E00980,Unit,µg/m³,ug/m3
R2,,E00986,Unit,mg/Nm3,mg/nm3
R2,,E00989,Unit,mg/Nm3,mg/nm3
R2,,E00990,Unit,mg/Nm3,mg/nm3
R2,,E00992,Unit,µg/m³,ug/m3
R2,,E01011,Unit,mg/Nm3,mg/nm3
R2,,E01012,Unit,µg/m³,ug/m3
R2,,E01018,Unit,mg/Nm3,mg/nm3
R2,,E01021,Unit,mg/Nm3,mg/nm3
R2,,E01026,Unit,µg/m³,ug/m3
R2,,E01030,Unit,mg/Nm3,mg/nm3
R2,,E01033,Unit,mg/Nm3,mg/nm3
R2,,E01036,Unit,µg/m³,ug/m3
R2,,E01040,Unit,µg/m³,ug/m3
R2,,E01048,Unit,µg/m³,ug/m3
R2,,E01055,Unit,µg/m³,ug/m3
R2,,E01060,Unit,µg/m³,ug/m3
R2,,E01071,Unit,µg/m³,ug/m3
R2,,E01076,Unit,mg/Nm3,mg/nm3
R2,,E01078,Unit,µg/m³,ug/m3
R2,,E01080,Unit,mg/Nm3,mg/nm3
R2,,E01081,Unit,µg/m³,ug/m3
R2,,E01088,Unit,µg/m³,ug/m3
R2,,E01109,Unit,µg/m³,ug/m3
R2,,E01115,Unit,µg/m³,ug/m3
R2,,E01127,Unit,mg/Nm3,mg/nm3
R2,,E01128,Unit,µg/m³,ug/m3
R2,,E01130,Unit,µg/m³,ug/m3
R2,,E01133,Unit,µg/m³,ug/m3
R2,,E01135,Unit,µg/m³,ug/m3
R2,,E01136,Unit,µg/m³,ug/m3
R2,,E01138,Unit,µg/m³,ug/m3
R2,,E01148,Unit,µg/m³,ug/m3
R2,,E01153,Unit,mg/Nm3,mg/nm3
R2,,E01156,Unit,mg/Nm3,mg/nm3
R2,,E01161,Unit,mg/Nm3,mg/nm3
R2,,E01163,Unit,µg/m³,ug/m3
R2,,E01170,Unit,µg/m³,ug/m3
R2,,E01177,Unit,µg/m³,ug/m3
R2,,E01184,Unit,mg/Nm3,mg/nm3
R2,,E01185,Unit,µg/m³,ug/m3
R2,,E01188,Unit,mg/Nm3,mg/nm3
R2,,E01195,Unit,µg/m³,ug/m3
R2,,E01196,Unit,µg/m³,ug/m3
R2,,E01205,Unit,µg/m³,ug/m3
R2,,E01211,Unit,mg/Nm3,mg/nm3
R2,,E01212,Unit,mg/Nm3,mg/nm3
R2,,E01217,Unit,µg/m³,ug/m3
R2,,E01218,Unit,mg/Nm3,mg/nm3
R2,,E01220,Unit,µg/m³,ug/m3
R2,,E01225,Unit,mg/Nm3,mg/nm3
R2,,E01229,Unit,mg/Nm3,mg/nm3
R2,,E01231,Unit,mg/Nm3,mg/nm3
R2,,E01243,Unit,µg/m³,ug/m3
R2,,E01247,Unit,mg/Nm3,mg/nm3
R2,,E01248,Unit,mg/Nm3,mg/nm3
R2,,E01269,Unit,mg/Nm3,mg/nm3
R2,,E01271,Unit,µg/m³,ug/m3
R2,,E01273,Unit,µg/m³,ug/m3
R2,,E01275,Unit,mg/Nm3,mg/nm3
R2,,E01286,Unit,µg/m³,ug/m3
R2,,E01291,Unit,mg/Nm3,mg/nm3
R2,,E01292,Unit,mg/Nm3,mg/nm3
R2,,E01302,Unit,mg/Nm3,mg/nm3
R2,,E01303,Unit,mg/Nm3,mg/nm3
R2,,E01305,Unit,mg/Nm3,mg/nm3
R2,,E01314,Unit,mg/Nm3,mg/nm3
R2,,E01319,Unit,µg/m³,ug/m3
R2,,E01321,Unit,µg/m³,ug/m3
R2,,E01326,Unit,µg/m³,ug/m3
R2,,E01329,Unit,µg/m³,ug/m3
R2,,E01331,Unit,mg/Nm3,mg/nm3
R2,,E01339,Unit,mg/Nm3,mg/nm3
R2,,E01366,Unit,µg/m³,ug/m3
R2,,E01369,Unit,µg/m³,ug/m3
R2,,E01373,Unit,mg/Nm3,mg/nm3
R2,,E01384,Unit,mg/Nm3,mg/nm3
R2,,E01404,Unit,mg/Nm3,mg/nm3
R2,,E01408,Unit,µg/m³,ug/m3
R2,,E01417,Unit,mg/Nm3,mg/nm3
R2,,E01420,Unit,mg/Nm3,mg/nm3
R2,,E01424,Unit,µg/m³,ug/m3
R2,,E01433,Unit,mg/Nm3,mg/nm3
R2,,E01441,Unit,µg/m³,ug/m3
R2,,E01456,Unit,mg/Nm3,mg/nm3
R2,,E01473,Unit,µg/m³,ug/m3
R2,,E01484,Unit,mg/Nm3,mg/nm3
R2,,E01489,Unit,mg/Nm3,mg/nm3
R2,,E01491,Unit,µg/m³,ug/m3
R2,,E01492,Unit,µg/m³,ug/m3
R2,,E01493,Unit,µg/m³,ug/m3
R2,,E01503,Unit,µg/m³,ug/m3
R2,,E01516,Unit,mg/Nm3,mg/nm3
R2,,E01522,Unit,µg/m³,ug/m3
R2,,E01523,Unit,mg/Nm3,mg/nm3
R2,,E01529,Unit,mg/Nm3,mg/nm3
R2,,E01531,Unit,mg/Nm3,mg/nm3
R2,,E01543,Unit,µg/m³,ug/m3
R2,,E01544,Unit,µg/m³,ug/m3
R2,,E01546,Unit,mg/Nm3,mg/nm3
R2,,E01551,Unit,mg/Nm3,mg/nm3
R2,,E01566,Unit,µg/m³,ug/m3
R2,,E01571,Unit,µg/m³,ug/m3
R2,,E01575,Unit,mg/Nm3,mg/nm3
R2,,E01578,Unit,µg/m³,ug/m3
R2,,E01584,Unit,µg/m³,ug/m3
R2,,E01586,Unit,mg/Nm3,mg/nm3
R2,,E01595,Unit,µg/m³,ug/m3
R2,,E01598,Unit,µg/m³,ug/m3
R2,,E01612,Unit,mg/Nm3,mg/nm3
R2,,E01619,Unit,µg/m³,ug/m3
R2,,E01625,Unit,mg/Nm3,mg/nm3
R2,,E01630,Unit,mg/Nm3,mg/nm3
R2,,E01634,Unit,mg/Nm3,mg/nm3
R2,,E01638,Unit,mg/Nm3,mg/nm3
R2,,E01644,Unit,µg/m³,ug/m3
R2,,E01647,Unit,µg/m³,ug/m3
R2,,E01650,Unit,mg/Nm3,mg/nm3
R2,,E01663,Unit,mg/Nm3,mg/nm3
R2,,E01681,Unit,µg/m³,ug/m3
R2,,E01682,Unit,mg/Nm3,mg/nm3
R2,,E01696,Unit,mg/Nm3,mg/nm3
R2,,E01698,Unit,mg/Nm3,mg/nm3
R2,,E01703,Unit,µg/m³,ug/m3
R2,,E01706,Unit,mg/Nm3,mg/nm3
R2,,E01713,Unit,mg/Nm3,mg/nm3
R2,,E01731,Unit,µg/m³,ug/m3
R2,,E01732,Unit,mg/Nm3,mg/nm3
R2,,E01733,Unit,mg/Nm3,mg/nm3
R2,,E01735,Unit,mg/Nm3,mg/nm3
R2,,E01739,Unit,µg/m³,ug/m3
R2,,E01744,Unit,µg/m³,ug/m3
R2,,E01749,Unit,mg/Nm3,mg/nm3
R2,,E01750,Unit,µg/m³,ug/m3
R2,,E01751,Unit,mg/Nm3,mg/nm3
R2,,E01759,Unit,µg/m³,ug/m3
R2,,E01771,Unit,mg/Nm3,mg/nm3
R2,,E01788,Unit,mg/Nm3,mg/nm3
R2,,E01805,Unit,µg/m³,ug/m3
R2,,E01818,Unit,mg/Nm3,mg/nm3
R2,,E01821,Unit,µg/m³,ug/m3
R2,,E01822,Unit,mg/Nm3,mg/nm3
R2,,E01828,Unit,mg/Nm3,mg/nm3
R2,,E01835,Unit,µg/m³,ug/m3
R2,,E01842,Unit,µg/m³,ug/m3
R2,,E01849,Unit,mg/Nm3,mg/nm3
R2,,E01853,Unit,µg/m³,ug/m3
R2,,E01855,Unit,mg/Nm3,mg/nm3
R2,,E01865,Unit,mg/Nm3,mg/nm3
R2,,E01868,Unit,µg/m³,ug/m3
R2,,E01869,Unit,mg/Nm3,mg/nm3
R2,,E01871,Unit,mg/Nm3,mg/nm3
R2,,E01880,Unit,mg/Nm3,mg/nm3
R2,,E01881,Unit,µg/m³,ug/m3
R2,,E01882,Unit,mg/Nm3,mg/nm3
R2,,E01889,Unit,mg/Nm3,mg/nm3
R2,,E01910,Unit,µg/m³,ug/m3
R2,,E01915,Unit,µg/m³,ug/m3
R2,,E01918,Unit,µg/m³,ug/m3
R2,,E01920,Unit,µg/m³,ug/m3
R2,,E01926,Unit,mg/Nm3,mg/nm3
R2,,E01929,Unit,µg/m³,ug/m3
R2,,E01936,Unit,mg/Nm3,mg/nm3
R2,,E01957,Unit,µg/m³,ug/m3
R2,,E01979,Unit,µg/m³,ug/m3
R2,,E01989,Unit,µg/m³,ug/m3
R2,,E01996,Unit,µg/m³,ug/m3
R2,,E02000,Unit,mg/Nm3,mg/nm3
R2,,E02002,Unit,mg/Nm3,mg/nm3
R2,,E02004,Unit,mg/Nm3,mg/nm3
R2,,E02008,Unit,mg/Nm3,mg/nm3
R2,,E02009,Unit,µg/m³,ug/m3
R2,,E02010,Unit,mg/Nm3,mg/nm3
R2,,E02012,Unit,µg/m³,ug/m3
R2,,E02017,Unit,µg/m³,ug/m3
R2,,E02018,Unit,mg/Nm3,mg/nm3
R2,,E02021,Unit,µg/m³,ug/m3
R2,,E02023,Unit,mg/Nm3,mg/nm3
R2,,E02028,Unit,mg/Nm3,mg/nm3
R2,,E02033,Unit,µg/m³,ug/m3
R2,,E02041,Unit,µg/m³,ug/m3
R2,,E02042,Unit,mg/Nm3,mg/nm3
R2,,E02045,Unit,µg/m³,ug/m3
R2,,E02057,Unit,mg/Nm3,mg/nm3
R2,,E02064,Unit,µg/m³,ug/m3
R2,,E02066,Unit,µg/m³,ug/m3
R2,,E02075,Unit,µg/m³,ug/m3
R2,,E02076,Unit,µg/m³,ug/m3
R2,,E02077,Unit,mg/Nm3,mg/nm3
R2,,E02078,Unit,µg/m³,ug/m3
R2,,E02092,Unit,µg/m³,ug/m3
R2,,E02100,Unit,µg/m³,ug/m3
R2,,E02101,Unit,µg/m³,ug/m3
R2,,E02104,Unit,µg/m³,ug/m3
R2,,E02107,Unit,mg/Nm3,mg/nm3
R2,,E02108,Unit,µg/m³,ug/m3
R2,,E02109,Unit,µg/m³,ug/m3
R2,,E02115,Unit,µg/m³,ug/m3
R2,,E02118,Unit,mg/Nm3,mg/nm3
R2,,E02126,Unit,µg/m³,ug/m3
R2,,E02130,Unit,µg/m³,ug/m3
R2,,E02158,Unit,µg/m³,ug/m3
R2,,E02159,Unit,µg/m³,ug/m3
R2,,E02161,Unit,mg/Nm3,mg/nm3
R2,,E02163,Unit,µg/m³,ug/m3
R2,,E02167,Unit,µg/m³,ug/m3
R2,,E02168,Unit,µg/m³,ug/m3
R2,,E02173,Unit,mg/Nm3,mg/nm3
R2,,E02184,Unit,mg/Nm3,mg/nm3
R2,,E02189,Unit,µg/m³,ug/m3
R2,,E02200,Unit,µg/m³,ug/m3
R2,,E02203,Unit,µg/m³,ug/m3
R2,,E02207,Unit,mg/Nm3,mg/nm3
R2,,E02215,Unit,µg/m³,ug/m3
R2,,E02219,Unit,µg/m³,ug/m3
R2,,E02228,Unit,mg/Nm3,mg/nm3
R2,,E02236,Unit,mg/Nm3,mg/nm3
R2,,E02247,Unit,mg/Nm3,mg/nm3
R2,,E02248,Unit,mg/Nm3,mg/nm3
R2,,E02252,Unit,mg/Nm3,mg/nm3
R2,,E02261,Unit,µg/m³,ug/m3
R2,,E02262,Unit,mg/Nm3,mg/nm3
R2,,E02263,Unit,µg/m³,ug/m3
R2,,E02268,Unit,mg/Nm3,mg/nm3
R2,,E02272,Unit,mg/Nm3,mg/nm3
R2,,E02283,Unit,mg/Nm3,mg/nm3
R2,,E02290,Unit,mg/Nm3,mg/nm3
R2,,E02292,Unit,µg/m³,ug/m3
R2,,E02298,Unit,µg/m³,ug/m3
R2,,E02301,Unit,mg/Nm3,mg/nm3
R2,,E02306,Unit,mg/Nm3,mg/nm3
R2,,E02313,Unit,mg/Nm3,mg/nm3
R2,,E02315,Unit,µg/m³,ug/m3
R2,,E02317,Unit,µg/m³,ug/m3
R2,,E02318,Unit,mg/Nm3,mg/nm3
R2,,E02320,Unit,mg/Nm3,mg/nm3
R2,,E02328,Unit,mg/Nm3,mg/nm3
R2,,E02333,Unit,mg/Nm3,mg/nm3
R2,,E02334,Unit,mg/Nm3,mg/nm3
R2,,E02336,Unit,µg/m³,ug/m3
R2,,E02344,Unit,mg/Nm3,mg/nm3
R2,,E02348,Unit,mg/Nm3,mg/nm3
R2,,E02349,Unit,µg/m³,ug/m3
R2,,E02353,Unit,mg/Nm3,mg/nm3
R2,,E02359,Unit,mg/Nm3,mg/nm3
R2,,E02366,Unit,µg/m³,ug/m3
R2,,E02367,Unit,mg/Nm3,mg/nm3
R2,,E02369,Unit,µg/m³,ug/m3
R2,,E02370,Unit,mg/Nm3,mg/nm3
R2,,E02373,Unit,µg/m³,ug/m3
R2,,E02377,Unit,µg/m³,ug/m3
R2,,E02390,Unit,mg/Nm3,mg/nm3
R2,,E02391,Unit,µg/m³,ug/m3
R2,,E02393,Unit,mg/Nm3,mg/nm3
R2,,E02398,Unit,µg/m³,ug/m3
R2,,E02401,Unit,mg/Nm3,mg/nm3
R2,,E02417,Unit,µg/m³,ug/m3
R2,,E02419,Unit,mg/Nm3,mg/nm3
R2,,E02420,Unit,mg/Nm3,mg/nm3
R2,,E02422,Unit,µg/m³,ug/m3
R2,,E02426,Unit,µg/m³,ug/m3
R2,,E02431,Unit,µg/m³,ug/m3
R2,,E02434,Unit,µg/m³,ug/m3
R2,,E02450,Unit,µg/m³,ug/m3
R2,,E02452,Unit,mg/Nm3,mg/nm3
R2,,E02453,Unit,µg/m³,ug/m3
R2,,E02457,Unit,mg/Nm3,mg/nm3
R2,,E02464,Unit,µg/m³,ug/m3
R2,,E02478,Unit,mg/Nm3,mg/nm3
R2,,E02479,Unit,mg/Nm3,mg/nm3
R2,,E02480,Unit,mg/Nm3,mg/nm3
R2,,E02482,Unit,µg/m³,ug/m3
R2,,E02494,Unit,mg/Nm3,mg/nm3
R2,,E02495,Unit,µg/m³,ug/m3
R2,,E02502,Unit,mg/Nm3,mg/nm3
R2,,E02503,Unit,µg/m³,ug/m3
R2,,E02510,Unit,µg/m³,ug/m3
R2,,E02511,Unit,mg/Nm3,mg/nm3
R2,,E02514,Unit,µg/m³,ug/m3
R2,,E02519,Unit,mg/Nm3,mg/nm3
R2,,E02531,Unit,mg/Nm3,mg/nm3
R2,,E02536,Unit,µg/m³,ug/m3
R2,,E02537,Unit,µg/m³,ug/m3
R2,,E02542,Unit,µg/m³,ug/m3
R2,,E02544,Unit,µg/m³,ug/m3
R2,,E02549,Unit,µg/m³,ug/m3
R2,,E02550,Unit,µg/m³,ug/m3
R2,,E02556,Unit,mg/Nm3,mg/nm3
R2,,E02557,Unit,mg/Nm3,mg/nm3
R2,,E02571,Unit,µg/m³,ug/m3
R2,,E02573,Unit,mg/Nm3,mg/nm3
R2,,E02575,Unit,mg/Nm3,mg/nm3
R2,,E02582,Unit,mg/Nm3,mg/nm3
R2,,E02607,Unit,µg/m³,ug/m3
R2,,E02619,Unit,µg/m³,ug/m3
R2,,E02621,Unit,µg/m³,ug/m3
R2,,E02642,Unit,mg/Nm3,mg/nm3
R2,,E02643,Unit,µg/m³,ug/m3
R2,,E02652,Unit,mg/Nm3,mg/nm3
R2,,E02656,Unit,µg/m³,ug/m3
R2,,E02659,Unit,mg/Nm3,mg/nm3
R2,,E02667,Unit,mg/Nm3,mg/nm3
R2,,E02672,Unit,mg/Nm3,mg/nm3
R2,,E02674,Unit,mg/Nm3,mg/nm3
R2,,E02675,Unit,mg/Nm3,mg/nm3
R2,,E02679,Unit,mg/Nm3,mg/nm3
R2,,E02681,Unit,µg/m³,ug/m3
R2,,E02685,Unit,µg/m³,ug/m3
R2,,E02686,Unit,µg/m³,ug/m3
R2,,E02689,Unit,µg/m³,ug/m3
R2,,E02693,Unit,µg/m³,ug/m3
R2,,E02696,Unit,µg/m³,ug/m3
R2,,E02704,Unit,mg/Nm3,mg/nm3
R2,,E02710,Unit,mg/Nm3,mg/nm3
R2,,E02715,Unit,mg/Nm3,mg/nm3
R2,,E02719,Unit,mg/Nm3,mg/nm3
R2,,E02721,Unit,mg/Nm3,mg/nm3
R2,,E02722,Unit,µg/m³,ug/m3
R2,,E02730,Unit,µg/m³,ug/m3
R2,,E02737,Unit,mg/Nm3,mg/nm3
R2,,E02750,Unit,µg/m³,ug/m3
R2,,E02756,Unit,µg/m³,ug/m3
R2,,E02760,Unit,µg/m³,ug/m3
R2,,E02762,Unit,mg/Nm3,mg/nm3
R2,,E02763,Unit,µg/m³,ug/m3
R2,,E02765,Unit,mg/Nm3,mg/nm3
R2,,E02770,Unit,µg/m³,ug/m3
R2,,E02772,Unit,mg/Nm3,mg/nm3
R2,,E02774,Unit,mg/Nm3,mg/nm3
R2,,E02781,Unit,µg/m³,ug/m3
R2,,E02792,Unit,mg/Nm3,mg/nm3
R2,,E02794,Unit,µg/m³,ug/m3
R2,,E02798,Unit,mg/Nm3,mg/nm3
R2,,E02800,Unit,µg/m³,ug/m3
R2,,E02802,Unit,mg/Nm3,mg/nm3
R2,,E02813,Unit,mg/Nm3,mg/nm3
R2,,E02822,Unit,µg/m³,ug/m3
R2,,E02823,Unit,mg/Nm3,mg/nm3
R2,,E02829,Unit,mg/Nm3,mg/nm3
R2,,E02835,Unit,µg/m³,ug/m3
R2,,E02849,Unit,mg/Nm3,mg/nm3
R2,,E02859,Unit,mg/Nm3,mg/nm3
R2,,E02861,Unit,µg/m³,ug/m3
R2,,E02868,Unit,µg/m³,ug/m3
R2,,E02869,Unit,mg/Nm3,mg/nm3
R2,,E02874,Unit,µg/m³,ug/m3
R2,,E02876,Unit,mg/Nm3,mg/nm3
R2,,E02879,Unit,µg/m³,ug/m3
R2,,E02883,Unit,mg/Nm3,mg/nm3
R2,,E02889,Unit,mg/Nm3,mg/nm3
R2,,E02897,Unit,µg/m³,ug/m3
R2,,E02904,Unit,mg/Nm3,mg/nm3
R2,,E02920,Unit,µg/m³,ug/m3
R2,,E02921,Unit,µg/m³,ug/m3
R2,,E02923,Unit,µg/m³,ug/m3
