Plant_ID,Stack_ID,TS,Source_Type,Sector,PM2.5,SO2,NOx,Unit,Status,Lat,Lon,AQI_Overall,AQI_Category,Any_Exceedance,Hour,DayOfWeek
LOC-DEL-01,A-01,2025-01-01 00:15:00,Ambient,,188.6,130.5,20.2,ug/m3,OK,77.21,28.61,377.2,Very Poor,True,0.0,Wednesday
PL-01,S-02,2025-01-01 00:15:00,Stack,Power,,,,ug/m3,MAINT,13.08,80.27,,Severe,False,0.0,Wednesday
PL-03,S-03,2025-01-01 00:15:00,Stack,Steel,170.3960396039604,185.3465346534653,82.47524752475248,ug/m3,OFFLINE,12.97,77.6,340.7920792079208,Very Poor,True,0.0,Wednesday
LOC-MUM-01,A-01,2025-01-01 00:15:00,Ambient,,174.1176470588235,119.90196078431372,101.96078431372548,ug/m3,OK,19.08,72.88,348.235294117647,Very Poor,True,0.0,Wednesday
PL-03,S-01,2025-01-01 00:15:00,Stack,Steel,,,,ug/m3,MAINT,12.97,77.59,,Severe,False,0.0,Wednesday
LOC-DEL-02,A-02,2025-01-01 00:15:00,Ambient,,,,,ug/m3,MAINT,28.62,77.21,,Severe,False,0.0,Wednesday
LOC-BLR-01,A-01,2025-01-01 00:15:00,Ambient,,409.6,448.7,466.1,ug/m3,FAULT,12.97,77.6,819.2,Severe,True,0.0,Wednesday
PL-03,S-02,2025-01-01 00:15:00,Stack,Steel,,,,ug/m3,MAINT,12.97,77.6,,Severe,False,0.0,Wednesday
PL-01,S-01,2025-01-01 00:30:00,Stack,Power,409.6,448.7,466.1,ug/m3,FAULT,13.08,80.27,819.2,Severe,True,0.0,Wednesday
LOC-DEL-02,A-02,2025-01-01 00:30:00,Ambient,,409.6,448.7,466.1,ug/m3,OK,28.62,77.22,819.2,Severe,True,0.0,Wednesday
PL-03,S-01,2025-01-01 00:30:00,Stack,Steel,183.18181818181816,375.2743027110142,57.54545454545454,ug/m3,OFFLINE,12.97,77.59,562.9114540665213,Severe,True,0.0,Wednesday
PL-03,S-02,2025-01-01 00:30:00,Stack,Steel,97.1,151.20000000000002,47.8,ug/m3,FAULT,12.97,77.6,226.8,Poor,False,0.0,Wednesday
LOC-MUM-01,A-01,2025-01-01 00:30:00,Ambient,,364.6198471030702,120.19607843137254,14.80392156862745,ug/m3,OFFLINE,19.08,72.88,729.2396942061404,Severe,True,0.0,Wednesday
PL-03,S-03,2025-01-01 00:30:00,Stack,Steel,78.8118811881188,49.306930693069305,137.12871287128712,ug/m3,OK,12.97,77.6,164.55445544554453,Moderate,False,0.0,Wednesday
PL-02,S-01,2025-01-01 00:30:00,Stack,Cement,141.04761904761904,448.7,171.52380952380952,ug/m3,FAULT,19.08,72.88,673.05,Severe,True,0.0,Wednesday
LOC-DEL-01,A-01,2025-01-01 00:30:00,Ambient,,81.60000000000001,448.73145598665,185.3,ug/m3,OFFLINE,28.61,77.21,673.0971839799751,Severe,True,0.0,Wednesday
LOC-BLR-01,A-01,2025-01-01 00:30:00,Ambient,,34.4,128.60000000000002,102.6,ug/m3,OK,12.97,77.59,192.90000000000003,Moderate,True,0.0,Wednesday
PL-01,S-02,2025-01-01 00:30:00,Stack,Power,166.42857142857144,111.83673469387756,87.14285714285714,ug/m3,DOWN,13.69,79.66,332.8571428571429,Very Poor,True,0.0,Wednesday
PL-03,S-03,2025-01-01 00:45:00,Stack,Steel,14.851485148514852,409.5066663189264,221.980198019802,ug/m3,OK,12.97,77.59,614.2599994783897,Severe,True,0.0,Wednesday
LOC-BLR-01,A-01,2025-01-01 00:45:00,Ambient,,119.9,400.68591194968553,73.39999999999999,ug/m3,OK,12.97,77.6,601.0288679245283,Severe,True,0.0,Wednesday
LOC-MUM-01,A-01,2025-01-01 00:45:00,Ambient,,,,,ug/m3,MAINT,19.08,72.88,,Severe,False,0.0,Wednesday
LOC-DEL-02,A-02,2025-01-01 00:45:00,Ambient,,409.6,448.7,466.1,ug/m3,FAULT,28.62,77.22,819.2,Severe,True,0.0,Wednesday
LOC-DEL-01,A-01,2025-01-01 00:45:00,Ambient,,,,,ug/m3,MAINT,28.61,77.21,,Severe,False,0.0,Wednesday
PL-01,S-02,2025-01-01 00:45:00,Stack,Power,172.44897959183675,274.38775510204084,433.1033328500644,ug/m3,OK,13.08,80.27,519.7239994200772,Severe,True,0.0,Wednesday
PL-02,S-01,2025-01-01 00:45:00,Stack,Cement,105.71428571428572,160.38095238095238,122.38095238095238,ug/m3,OK,19.08,72.88,240.57142857142856,Poor,False,0.0,Wednesday
PL-03,S-01,2025-01-01 00:45:00,Stack,Steel,165.0,167.45454545454544,148.27272727272725,ug/m3,OK,12.97,77.59,330.0,Very Poor,True,0.0,Wednesday
PL-01,S-01,2025-01-01 00:45:00,Stack,Power,108.62745098039215,184.01960784313724,161.1764705882353,ug/m3,OK,13.08,80.27,276.02941176470586,Poor,False,0.0,Wednesday
PL-03,S-02,2025-01-01 00:45:00,Stack,Steel,409.6,138.9,166.0,ug/m3,OFFLINE,12.97,77.59,819.2,Severe,True,0.0,Wednesday
LOC-DEL-02,A-02,2025-01-01 01:00:00,Ambient,,169.8989898989899,170.4040404040404,50.60606060606061,ug/m3,OK,28.62,77.21,339.7979797979798,Very Poor,True,1.0,Wednesday
PL-03,S-01,2025-01-01 01:00:00,Stack,Steel,,,,ug/m3,MAINT,12.97,77.59,,Severe,False,1.0,Wednesday
PL-03,S-02,2025-01-01 01:00:00,Stack,Steel,,,,ug/m3,MAINT,12.97,77.59,,Severe,False,1.0,Wednesday
LOC-DEL-01,A-01,2025-01-01 01:00:00,Ambient,,77.30000000000001,135.6,196.5,ug/m3,OK,28.61,77.21,235.79999999999998,Poor,True,1.0,Wednesday
PL-02,S-01,2025-01-01 01:00:00,Stack,Cement,,,,ug/m3,MAINT,19.08,72.88,,Severe,False,1.0,Wednesday
LOC-MUM-01,A-01,2025-01-01 01:00:00,Ambient,,,,,ug/m3,MAINT,19.08,72.88,,Severe,False,1.0,Wednesday
LOC-BLR-01,A-01,2025-01-01 01:00:00,Ambient,,,,,ug/m3,MAINT,12.97,77.59,,Severe,False,1.0,Wednesday
PL-01,S-01,2025-01-01 01:00:00,Stack,Power,74.01960784313725,414.5262596281215,80.49019607843137,ug/m3,OK,13.08,80.27,621.7893894421823,Severe,True,1.0,Wednesday
PL-03,S-03,2025-01-01 01:00:00,Stack,Steel,409.6,448.7,466.1,ug/m3,OK,12.97,77.6,819.2,Severe,True,1.0,Wednesday
PL-01,S-02,2025-01-01 01:00:00,Stack,Power,,,,ug/m3,MAINT,13.08,80.27,,Severe,False,1.0,Wednesday
PL-03,S-01,2025-01-01 01:15:00,Stack,Steel,409.6,448.7,466.1,ug/m3,OK,12.97,77.59,819.2,Severe,True,1.0,Wednesday
LOC-DEL-01,A-01,2025-01-01 01:15:00,Ambient,,128.5,304.7,142.20000000000002,ug/m3,OK,28.61,77.21,457.04999999999995,Severe,True,1.0,Wednesday
LOC-DEL-02,A-02,2025-01-01 01:15:00,Ambient,,81.61616161616162,232.12121212121207,101.91919191919192,ug/m3,FAULT,28.62,77.22,348.18181818181813,Very Poor,True,1.0,Wednesday
PL-01,S-02,2025-01-01 01:15:00,Stack,Power,201.8367346938776,44.795918367346935,433.1033328500644,ug/m3,OK,13.08,80.27,519.7239994200772,Severe,True,1.0,Wednesday
LOC-BLR-01,A-01,2025-01-01 01:15:00,Ambient,,150.0,138.8,407.66356460324056,ug/m3,FAULT,12.97,77.59,489.1962775238886,Severe,True,1.0,Wednesday
LOC-MUM-01,A-01,2025-01-01 01:15:00,Ambient,,205.5882352941176,174.41176470588235,69.01960784313725,ug/m3,OK,19.08,72.88,411.1764705882352,Severe,True,1.0,Wednesday
PL-03,S-03,2025-01-01 01:15:00,Stack,Steel,,,,ug/m3,MAINT,12.97,77.59,,Severe,False,1.0,Wednesday
PL-03,S-02,2025-01-01 01:15:00,Stack,Steel,119.0,65.9,120.5,ug/m3,FAULT,12.97,77.59,238.0,Poor,False,1.0,Wednesday
PL-02,S-01,2025-01-01 01:15:00,Stack,Cement,84.47619047619048,88.38095238095238,38.66666666666666,ug/m3,FAULT,19.08,72.88,168.95238095238096,Moderate,False,1.0,Wednesday
PL-01,S-01,2025-01-01 01:15:00,Stack,Power,,,,ug/m3,MAINT,13.08,80.27,,Severe,False,1.0,Wednesday
LOC-BLR-01,A-01,2025-01-01 01:30:00,Ambient,,,,,ug/m3,MAINT,12.97,77.59,,Severe,False,1.0,Wednesday
PL-01,S-02,2025-01-01 01:30:00,Stack,Power,160.9183673469388,199.0816326530613,128.26530612244898,ug/m3,OK,13.08,80.27,321.8367346938776,Very Poor,True,1.0,Wednesday
LOC-DEL-01,A-01,2025-01-01 01:30:00,Ambient,,,,,ug/m3,MAINT,28.61,77.21,,Severe,False,1.0,Wednesday
PL-03,S-02,2025-01-01 01:30:00,Stack,Steel,248.9,115.9,269.0,ug/m3,FAULT,12.97,77.59,497.8,Severe,True,1.0,Wednesday
PL-02,S-01,2025-01-01 01:30:00,Stack,Cement,,,,ug/m3,MAINT,19.08,72.88,,Severe,False,1.0,Wednesday
PL-03,S-03,2025-01-01 01:30:00,Stack,Steel,94.05940594059406,52.17821782178218,181.5841584158416,ug/m3,OK,12.97,77.6,217.90099009900993,Poor,False,1.0,Wednesday
PL-03,S-01,2025-01-01 01:30:00,Stack,Steel,223.4545454545454,37.63636363636364,142.18181818181816,ug/m3,FAULT,12.97,77.59,446.9090909090908,Severe,True,1.0,Wednesday
PL-01,S-01,2025-01-01 01:30:00,Stack,Power,,,,ug/m3,MAINT,13.08,80.27,,Severe,False,1.0,Wednesday
LOC-DEL-02,A-02,2025-01-01 01:30:00,Ambient,,143.13131313131314,153.83838383838386,88.38383838383838,ug/m3,OK,28.62,77.22,286.26262626262627,Poor,True,1.0,Wednesday
LOC-MUM-01,A-01,2025-01-01 01:30:00,Ambient,,122.45098039215684,68.23529411764706,422.9499679174688,ug/m3,FAULT,19.08,72.88,507.5399615009626,Severe,True,1.0,Wednesday
PL-03,S-02,2025-01-01 01:45:00,Stack,Steel,136.8,78.30000000000001,466.1,ug/m3,OK,12.97,77.59,559.32,Severe,True,1.0,Wednesday
PL-03,S-03,2025-01-01 01:45:00,Stack,Steel,,,,ug/m3,MAINT,12.97,77.59,,Severe,False,1.0,Wednesday
PL-01,S-02,2025-01-01 01:45:00,Stack,Power,409.6,448.7,466.1,ug/m3,FAULT,13.08,80.27,819.2,Severe,True,1.0,Wednesday
PL-02,S-01,2025-01-01 01:45:00,Stack,Cement,,,,ug/m3,MAINT,19.08,72.88,,Severe,False,1.0,Wednesday
PL-01,S-01,2025-01-01 01:45:00,Stack,Power,409.6,448.7,466.1,ug/m3,OK,13.08,80.27,819.2,Severe,True,1.0,Wednesday
LOC-DEL-01,A-01,2025-01-01 01:45:00,Ambient,,,,,ug/m3,MAINT,28.61,77.21,,Severe,False,1.0,Wednesday
LOC-BLR-01,A-01,2025-01-01 01:45:00,Ambient,,383.3647793505412,127.6,105.7,ug/m3,OK,12.97,77.6,766.7295587010824,Severe,True,1.0,Wednesday
LOC-DEL-02,A-02,2025-01-01 01:45:00,Ambient,,232.22222222222223,218.68686868686868,108.989898989899,ug/m3,FAULT,28.62,77.21,464.44444444444446,Severe,True,1.0,Wednesday
LOC-MUM-01,A-01,2025-01-01 01:45:00,Ambient,,,,,ug/m3,MAINT,19.08,72.88,,Severe,False,1.0,Wednesday
PL-03,S-01,2025-01-01 01:45:00,Stack,Steel,163.18181818181816,99.72727272727272,51.90909090909091,ug/m3,DOWN,12.97,77.59,326.3636363636363,Very Poor,True,1.0,Wednesday
PL-03,S-02,2025-01-01 02:00:00,Stack,Steel,84.7,110.9,125.1,ug/m3,FAULT,12.97,77.59,169.4,Moderate,False,2.0,Wednesday
PL-01,S-02,2025-01-01 02:00:00,Stack,Power,89.38775510204081,144.48979591836738,433.1033328500644,ug/m3,OK,13.08,80.27,519.7239994200772,Severe,True,2.0,Wednesday
LOC-MUM-01,A-01,2025-01-01 02:00:00,Ambient,,163.62745098039215,136.76470588235293,80.68627450980392,ug/m3,FAULT,19.08,72.88,327.2549019607843,Very Poor,True,2.0,Wednesday
PL-03,S-01,2025-01-01 02:00:00,Stack,Steel,111.0,375.2743027110142,143.63636363636363,ug/m3,FAULT,12.97,77.59,562.9114540665213,Severe,True,2.0,Wednesday
LOC-DEL-01,A-01,2025-01-01 02:00:00,Ambient,,61.6,78.7,146.3,ug/m3,OK,28.94,76.88,175.56,Moderate,True,2.0,Wednesday
PL-01,S-01,2025-01-01 02:00:00,Stack,Power,87.25490196078431,130.19607843137257,466.1,ug/m3,FAULT,13.08,80.27,559.32,Severe,True,2.0,Wednesday
PL-03,S-03,2025-01-01 02:00:00,Stack,Steel,,,,ug/m3,MAINT,12.97,77.6,,Severe,False,2.0,Wednesday
LOC-DEL-02,A-02,2025-01-01 02:00:00,Ambient,,,,,ug/m3,MAINT,28.62,77.22,,Severe,False,2.0,Wednesday
PL-02,S-01,2025-01-01 02:00:00,Stack,Cement,,,,ug/m3,MAINT,19.08,72.88,,Severe,False,2.0,Wednesday
PL-03,S-01,2025-01-01 02:15:00,Stack,Steel,,,,ug/m3,MAINT,12.97,77.6,,Severe,False,2.0,Wednesday
LOC-BLR-01,A-01,2025-01-01 02:15:00,Ambient,,261.40000000000003,71.7,140.5,ug/m3,FAULT,12.97,77.59,522.8000000000001,Severe,True,2.0,Wednesday
PL-01,S-02,2025-01-01 02:15:00,Stack,Power,,,,ug/m3,MAINT,13.08,80.27,,Severe,False,2.0,Wednesday
LOC-MUM-01,A-01,2025-01-01 02:15:00,Ambient,,145.0,180.7843137254902,119.90196078431372,ug/m3,OK,19.08,72.88,290.0,Poor,True,2.0,Wednesday
PL-03,S-02,2025-01-01 02:15:00,Stack,Steel,35.6,123.5,18.7,ug/m3,DOWN,12.97,77.6,185.25,Moderate,False,2.0,Wednesday
LOC-DEL-02,A-02,2025-01-01 02:15:00,Ambient,,140.8080808080808,123.03030303030305,182.62626262626264,ug/m3,OK,28.62,77.22,281.6161616161616,Poor,True,2.0,Wednesday
PL-02,S-01,2025-01-01 02:15:00,Stack,Cement,178.95238095238096,421.1168358053604,63.9047619047619,ug/m3,OK,19.08,72.88,631.6752537080406,Severe,True,2.0,Wednesday
PL-03,S-03,2025-01-01 02:15:00,Stack,Steel,254.05940594059408,146.43564356435644,203.26732673267327,ug/m3,DOWN,77.59,12.97,508.11881188118815,Severe,True,2.0,Wednesday
LOC-DEL-01,A-01,2025-01-01 02:15:00,Ambient,,144.3,44.3,466.0897435897436,ug/m3,OK,28.61,77.21,559.3076923076923,Severe,True,2.0,Wednesday
PL-01,S-01,2025-01-01 02:30:00,Stack,Power,,,,ug/m3,MAINT,13.08,80.27,,Severe,False,2.0,Wednesday
PL-02,S-01,2025-01-01 02:30:00,Stack,Cement,,,,ug/m3,MAINT,19.08,72.88,,Severe,False,2.0,Wednesday
PL-03,S-02,2025-01-01 02:30:00,Stack,Steel,396.2200027820281,155.70000000000002,155.1,ug/m3,FAULT,12.97,77.6,792.4400055640562,Severe,True,2.0,Wednesday
PL-03,S-01,2025-01-01 02:30:00,Stack,Steel,,,,ug/m3,MAINT,12.97,77.59,,Severe,False,2.0,Wednesday
LOC-MUM-01,A-01,2025-01-01 02:30:00,Ambient,,194.11764705882356,171.5686274509804,109.70588235294116,ug/m3,ERROR,19.08,72.88,388.23529411764713,Very Poor,True,2.0,Wednesday
LOC-DEL-02,A-02,2025-01-01 02:30:00,Ambient,,111.71717171717172,108.4848484848485,396.32242931406114,ug/m3,FAULT,28.62,77.22,475.58691517687333,Severe,True,2.0,Wednesday
PL-01,S-02,2025-01-01 02:30:00,Stack,Power,75.10204081632652,448.7,133.77551020408166,ug/m3,FAULT,13.08,80.27,673.05,Severe,True,2.0,Wednesday
PL-03,S-03,2025-01-01 02:30:00,Stack,Steel,,,,ug/m3,MAINT,12.97,77.59,,Severe,False,2.0,Wednesday
LOC-DEL-01,A-01,2025-01-01 02:30:00,Ambient,,,,,ug/m3,MAINT,28.61,77.21,,Severe,False,2.0,Wednesday
LOC-BLR-01,A-01,2025-01-01 02:30:00,Ambient,,,,,ug/m3,MAINT,12.97,77.59,,Severe,False,2.0,Wednesday
PL-03,S-03,2025-01-01 02:45:00,Stack,Steel,213.46534653465343,133.06930693069307,371.4802572659159,ug/m3,DOWN,12.97,77.59,445.77630871909906,Severe,True,2.0,Wednesday
LOC-DEL-01,A-01,2025-01-01 02:45:00,Ambient,,,,,ug/m3,MAINT,28.61,77.21,,Severe,False,2.0,Wednesday
LOC-DEL-02,A-02,2025-01-01 02:45:00,Ambient,,,,,ug/m3,MAINT,28.62,77.21,,Severe,False,2.0,Wednesday
PL-01,S-02,2025-01-01 02:45:00,Stack,Power,409.6,448.7,466.1,ug/m3,FAULT,13.08,80.27,819.2,Severe,True,2.0,Wednesday
PL-02,S-01,2025-01-01 02:45:00,Stack,Cement,175.52380952380952,198.57142857142856,396.9245931790013,ug/m3,FAULT,19.08,72.88,476.30951181480157,Severe,True,2.0,Wednesday
PL-01,S-01,2025-01-01 02:45:00,Stack,Power,,,,ug/m3,MAINT,13.08,80.27,,Severe,False,2.0,Wednesday
PL-03,S-02,2025-01-01 02:45:00,Stack,Steel,114.4,74.9,166.20000000000002,ug/m3,OK,12.97,77.59,228.8,Poor,False,2.0,Wednesday
LOC-BLR-01,A-01,2025-01-01 02:45:00,Ambient,,188.3,124.9,199.6,ug/m3,OK,12.97,77.59,376.6,Very Poor,True,2.0,Wednesday
LOC-MUM-01,A-01,2025-01-01 03:00:00,Ambient,,137.2549019607843,419.8437564499484,68.92156862745098,ug/m3,OFFLINE,19.08,72.88,629.7656346749226,Severe,True,3.0,Wednesday
PL-02,S-01,2025-01-01 03:00:00,Stack,Cement,230.66666666666663,221.9047619047619,466.1,ug/m3,DOWN,19.08,72.88,559.32,Severe,True,3.0,Wednesday
PL-03,S-01,2025-01-01 03:00:00,Stack,Steel,168.5454545454545,121.54545454545452,14.454545454545451,ug/m3,OK,12.97,77.6,337.090909090909,Very Poor,True,3.0,Wednesday
PL-03,S-02,2025-01-01 03:00:00,Stack,Steel,396.2200027820281,64.2,375.095059838575,ug/m3,OK,12.97,77.6,792.4400055640562,Severe,True,3.0,Wednesday
LOC-DEL-01,A-01,2025-01-01 03:00:00,Ambient,,98.9,104.9,177.5,ug/m3,OK,28.61,77.21,213.0,Poor,True,3.0,Wednesday
LOC-DEL-02,A-02,2025-01-01 03:00:00,Ambient,,,,,ug/m3,MAINT,28.62,77.22,,Severe,False,3.0,Wednesday
PL-01,S-02,2025-01-01 03:00:00,Stack,Power,409.6,448.7,466.1,ug/m3,OK,13.69,79.66,819.2,Severe,True,3.0,Wednesday
PL-03,S-03,2025-01-01 03:00:00,Stack,Steel,392.3960423584437,409.5066663189264,97.52475247524752,ug/m3,OK,12.97,77.59,784.7920847168874,Severe,True,3.0,Wednesday
LOC-BLR-01,A-01,2025-01-01 03:00:00,Ambient,,383.3647793505412,104.0,138.4,ug/m3,OK,12.97,77.59,766.7295587010824,Severe,True,3.0,Wednesday
PL-01,S-01,2025-01-01 03:00:00,Stack,Power,124.90196078431372,130.29411764705884,415.8247707775128,ug/m3,OK,13.08,80.27,498.98972493301534,Severe,True,3.0,Wednesday
PL-03,S-01,2025-01-01 03:15:00,Stack,Steel,76.9090909090909,182.81818181818176,120.36363636363632,ug/m3,OK,12.97,77.59,274.22727272727263,Poor,False,3.0,Wednesday
LOC-DEL-01,A-01,2025-01-01 03:15:00,Ambient,,,,,ug/m3,MAINT,28.61,77.21,,Severe,False,3.0,Wednesday
PL-02,S-01,2025-01-01 03:15:00,Stack,Cement,,,,ug/m3,MAINT,72.88,19.08,,Severe,False,3.0,Wednesday
LOC-BLR-01,A-01,2025-01-01 03:15:00,Ambient,,,,,ug/m3,MAINT,12.97,77.6,,Severe,False,3.0,Wednesday
PL-03,S-03,2025-01-01 03:15:00,Stack,Steel,,,,ug/m3,MAINT,12.97,77.59,,Severe,False,3.0,Wednesday
PL-03,S-02,2025-01-01 03:15:00,Stack,Steel,,,,ug/m3,MAINT,12.97,77.6,,Severe,False,3.0,Wednesday
LOC-MUM-01,A-01,2025-01-01 03:15:00,Ambient,,,,,ug/m3,MAINT,19.08,72.88,,Severe,False,3.0,Wednesday
PL-01,S-02,2025-01-01 03:15:00,Stack,Power,,,,ug/m3,MAINT,13.08,80.27,,Severe,False,3.0,Wednesday
PL-01,S-01,2025-01-01 03:15:00,Stack,Power,164.2156862745098,112.94117647058825,134.60784313725492,ug/m3,OK,13.08,80.27,328.4313725490196,Very Poor,True,3.0,Wednesday
LOC-DEL-02,A-02,2025-01-01 03:15:00,Ambient,,120.3030303030303,88.98989898989899,60.0,ug/m3,ERROR,28.62,77.22,240.6060606060606,Poor,True,3.0,Wednesday
LOC-BLR-01,A-01,2025-01-01 03:30:00,Ambient,,147.3,448.7,109.6,ug/m3,OK,12.97,77.6,673.05,Severe,True,3.0,Wednesday
LOC-DEL-01,A-01,2025-01-01 03:30:00,Ambient,,102.2,207.9,466.0897435897436,ug/m3,OK,28.61,77.21,559.3076923076923,Severe,True,3.0,Wednesday
PL-01,S-02,2025-01-01 03:30:00,Stack,Power,409.5590485880151,99.59183673469389,433.1033328500644,ug/m3,OK,13.08,80.27,819.1180971760302,Severe,True,3.0,Wednesday
LOC-MUM-01,A-01,2025-01-01 03:30:00,Ambient,,64.01960784313725,419.8437564499484,164.11764705882354,ug/m3,DOWN,19.08,72.88,629.7656346749226,Severe,True,3.0,Wednesday
PL-03,S-03,2025-01-01 03:30:00,Stack,Steel,409.6,448.7,466.1,ug/m3,FAULT,12.97,77.6,819.2,Severe,True,3.0,Wednesday
PL-02,S-01,2025-01-01 03:30:00,Stack,Cement,409.6,116.76190476190474,102.0,ug/m3,FAULT,19.08,72.88,819.2,Severe,True,3.0,Wednesday
LOC-DEL-02,A-02,2025-01-01 03:30:00,Ambient,,78.58585858585859,143.83838383838383,147.67676767676767,ug/m3,OK,28.62,77.22,215.75757575757575,Poor,True,3.0,Wednesday
LOC-DEL-01,A-01,2025-01-01 03:45:00,Ambient,,409.6,133.9,239.1,ug/m3,FAULT,28.61,77.21,819.2,Severe,True,3.0,Wednesday
PL-03,S-01,2025-01-01 03:45:00,Stack,Steel,,,,ug/m3,MAINT,12.97,77.59,,Severe,False,3.0,Wednesday
PL-01,S-01,2025-01-01 03:45:00,Stack,Power,122.84313725490196,414.5262596281215,157.7450980392157,ug/m3,FAULT,13.08,80.27,621.7893894421823,Severe,True,3.0,Wednesday
PL-01,S-02,2025-01-01 03:45:00,Stack,Power,221.1224489795919,45.61224489795918,271.9387755102041,ug/m3,OK,13.08,80.27,442.2448979591838,Severe,True,3.0,Wednesday
PL-02,S-01,2025-01-01 03:45:00,Stack,Cement,111.42857142857144,421.1168358053604,130.38095238095238,ug/m3,OK,19.08,72.88,631.6752537080406,Severe,True,3.0,Wednesday
LOC-BLR-01,A-01,2025-01-01 03:45:00,Ambient,,232.6,400.68591194968553,96.7,ug/m3,OK,12.97,77.59,601.0288679245283,Severe,True,3.0,Wednesday
PL-03,S-02,2025-01-01 03:45:00,Stack,Steel,,,,ug/m3,MAINT,12.97,77.59,,Severe,False,3.0,Wednesday
PL-03,S-03,2025-01-01 03:45:00,Stack,Steel,,,,ug/m3,MAINT,12.97,77.59,,Severe,False,3.0,Wednesday
PL-02,S-01,2025-01-01 04:00:00,Stack,Cement,,,,ug/m3,MAINT,19.08,72.88,,Severe,False,4.0,Wednesday
LOC-MUM-01,A-01,2025-01-01 04:00:00,Ambient,,113.52941176470588,147.2549019607843,466.1,ug/m3,OK,19.08,72.88,559.32,Severe,True,4.0,Wednesday
LOC-DEL-01,A-01,2025-01-01 04:00:00,Ambient,,409.6,448.7,466.1,ug/m3,ERROR,28.61,77.21,819.2,Severe,True,4.0,Wednesday
PL-03,S-03,2025-01-01 04:00:00,Stack,Steel,178.11881188118812,409.5066663189264,198.01980198019805,ug/m3,FAULT,12.97,77.6,614.2599994783897,Severe,True,4.0,Wednesday
LOC-BLR-01,A-01,2025-01-01 04:00:00,Ambient,,271.0,184.2,407.66356460324056,ug/m3,OK,12.97,77.59,542.0,Severe,True,4.0,Wednesday
PL-01,S-01,2025-01-01 04:00:00,Stack,Power,,,,ug/m3,MAINT,13.08,80.27,,Severe,False,4.0,Wednesday
LOC-DEL-02,A-02,2025-01-01 04:00:00,Ambient,,41.81818181818182,140.1010101010101,123.93939393939394,ug/m3,FAULT,28.62,77.22,210.15151515151516,Poor,True,4.0,Wednesday
PL-03,S-02,2025-01-01 04:00:00,Stack,Steel,,,,ug/m3,MAINT,12.97,77.6,,Severe,False,4.0,Wednesday
PL-01,S-02,2025-01-01 04:15:00,Stack,Power,166.42857142857144,226.6326530612245,98.6734693877551,ug/m3,ERROR,13.08,80.27,339.94897959183675,Very Poor,True,4.0,Wednesday
PL-02,S-01,2025-01-01 04:15:00,Stack,Cement,376.9196818685191,168.47619047619048,396.9245931790013,ug/m3,FAULT,19.08,72.88,753.8393637370382,Severe,True,4.0,Wednesday
LOC-DEL-02,A-02,2025-01-01 04:15:00,Ambient,,143.13131313131314,30.1010101010101,170.60606060606062,ug/m3,FAULT,28.62,77.21,286.26262626262627,Poor,True,4.0,Wednesday
LOC-MUM-01,A-01,2025-01-01 04:15:00,Ambient,,68.72549019607843,145.2941176470588,187.7450980392157,ug/m3,OK,19.08,72.88,225.2941176470588,Poor,True,4.0,Wednesday
